ordinal,case_id,category,conversation_id,turn_index,question,gold_fact_id,gold_topic,expected_answer_slots,forbidden_slots,gold_evidence_hints,canonical_answer,critical,notes
267,G5K_0267,misconception_correction,,1,ket qua cua cach mang thang tam?,CMT8_1945_POLITICAL_RESULT,Cách mạng Tháng Tám 1945,"[""giành chính quyền"", ""Việt Nam Dân chủ Cộng hòa"", ""2/9/1945""]","[""Tuyên ngôn Độc lập là toàn bộ Cách mạng Tháng Tám""]","[""cach mang thang tam""]","Kết quả chính trị lớn của Cách mạng Tháng Tám 1945 là nhân dân giành chính quyền trên cả nước, mở đường cho độc lập dân tộc và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa ngày 2/9/1945.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
268,G5K_0268,misconception_correction,,1,"Nếu người học nhầm về Hiệp định Sơ bộ Việt - Pháp 6/3/1946, cần đính chính mốc/sự kiện nào?",HIEP_DINH_SO_BO_1946_DATE,Hiệp định Sơ bộ Việt - Pháp 6/3/1946,"[""6/3/1946"", ""Hiệp định Sơ bộ"", ""Việt - Pháp""]","[""Tạm ước 14/9/1946""]","[""6/3/1946"", ""Hiệp định Sơ bộ""]",Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
269,G5K_0269,misconception_correction,,1,"Nếu người học nhầm về Đường Trường Sơn, cần đính chính mốc/sự kiện nào?",TRUONG_SON_SUPPORT,Đường Trường Sơn,"[""tuyến vận tải chiến lược"", ""chi viện miền Nam"", ""người và vật chất"", ""hậu phương miền Bắc"", ""tiền tuyến miền Nam"", ""Không""]","[""Đường Trường Sơn không phải hiệp định ngoại giao""]","[""duong truong son"", ""Đường Trường Sơn"", ""hậu phương miền Bắc"", ""tiền tuyến miền Nam""]","Không. Đường Trường Sơn không phải là một hiệp định ngoại giao; đây là tuyến vận tải chiến lược đưa người và vật chất chi viện cho miền Nam, nối hậu phương miền Bắc với tiền tuyến miền Nam trong kháng chiến chống Mỹ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
270,G5K_0270,misconception_correction,,1,"Nếu người học nhầm về Từ Việt Bắc 1947 đến Biên giới 1950, cần đính chính mốc/sự kiện nào?",VIET_BAC_1947_TO_BIEN_GIOI_1950_TIMELINE,Từ Việt Bắc 1947 đến Biên giới 1950,"[""Việt Bắc 1947"", ""Biên giới 1950"", ""thế chủ động""]","[""đảo thứ tự 1950 trước 1947""]","[""Việt Bắc Thu Đông 1947"", ""Biên giới Thu Đông 1950"", ""thế chủ động""]","Thứ tự đúng là Việt Bắc Thu Đông 1947 diễn ra trước, giúp bảo vệ căn cứ và đánh bại chiến lược đánh nhanh thắng nhanh; sau đó Chiến dịch Biên giới Thu Đông 1950 khai thông biên giới, mở rộng căn cứ và đưa kháng chiến sang thế chủ động hơn.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
271,G5K_0271,misconception_correction,,1,Sửa nhận định sai liên quan đến Việt Minh và Mặt trận Dân tộc Giải phóng miền Nam: MTDTGPMN không ra đời năm 1941.,VIET_MINH_VS_NLF,Việt Minh và Mặt trận Dân tộc Giải phóng miền Nam,"[""Việt Minh 1941"", ""20/12/1960"", ""khác bối cảnh"", ""Không"", ""MTDTGPMN 1960""]","[""gộp Việt Minh với MTDTGPMN"", ""MTDTGPMN không ra đời năm 1941""]","[""viet minh""]","Không. Việt Minh ra đời năm 1941, không phải năm 1960; Mặt trận Dân tộc Giải phóng miền Nam (MTDTGPMN) ra đời ngày 20/12/1960, không phải năm 1941. Hai tổ chức khác bối cảnh lịch sử, thời điểm ra đời và phạm vi nhiệm vụ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
272,G5K_0272,misconception_correction,,1,Một bạn học bị nhầm: Cương lĩnh chính trị đầu tiên 1930. Câu trả lời đúng nên là gì?,LUAN_CUONG_1930_TRAN_PHU,Luận cương chính trị tháng 10/1930,"[""Luận cương chính trị"", ""10/1930"", ""Trần Phú""]","[""Cương lĩnh chính trị đầu tiên 1930""]","[""Luận cương chính trị tháng 10/1930"", ""Trần Phú""]","Luận cương chính trị tháng 10/1930 là văn kiện quan trọng của Đảng, gắn với Trần Phú và Hội nghị Trung ương tháng 10/1930.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
273,G5K_0273,misconception_correction,,1,tuyen ngon doc lap do ai doc?,HO_CHI_MINH_READ_DECLARATION_1945,Hồ Chí Minh đọc Tuyên ngôn Độc lập 2/9/1945,"[""Hồ Chí Minh"", ""2/9/1945"", ""Tuyên ngôn Độc lập"", ""Quảng trường Ba Đình""]","[""Bảo Đại thoái vị""]","[""Năm 1945: Nhật đảo chính Pháp, Tổng khởi nghĩa và Tuyên ngôn Độc lập"", ""Tuyên ngôn Độc lập""]","Ngày 2/9/1945, Hồ Chí Minh đọc Tuyên ngôn Độc lập tại Quảng trường Ba Đình, Hà Nội, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
274,G5K_0274,misconception_correction,,1,Một bạn học bị nhầm: dừng ở 1960 mà bỏ Tết Mậu Thân 1968. Câu trả lời đúng nên là gì?,DONG_KHOI_TO_TET_MAU_THAN_TIMELINE,Từ Đồng Khởi đến Tết Mậu Thân,"[""1959-1960"", ""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""1968""]","[""dừng ở 1960 mà bỏ Tết Mậu Thân 1968""]","[""Đồng Khởi"", ""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""Tết Mậu Thân""]",Từ Đồng Khởi đến Tết Mậu Thân có thể nhớ theo tuyến: phong trào Đồng Khởi 1959-1960 làm chuyển thế cách mạng miền Nam; ngày 20/12/1960 Mặt trận Dân tộc Giải phóng miền Nam ra đời; năm 1968 diễn ra Tết Mậu Thân với tác động chính trị lớn.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
275,G5K_0275,misconception_correction,,1,Một bạn học bị nhầm: 19/8/1945 là Tuyên ngôn Độc lập. Câu trả lời đúng nên là gì?,NHAT_DAO_CHINH_TO_DOC_LAP_TIMELINE,Từ Nhật đảo chính Pháp đến Tuyên ngôn Độc lập,"[""9/3/1945"", ""Tổng khởi nghĩa tháng 8"", ""2/9/1945""]","[""19/8/1945 là Tuyên ngôn Độc lập""]","[""1945"", ""tuyen ngon doc lap""]","Timeline từ Nhật đảo chính Pháp đến Tuyên ngôn Độc lập: ngày 9/3/1945 Nhật đảo chính Pháp ở Đông Dương; tháng 8/1945 diễn ra Tổng khởi nghĩa giành chính quyền; ngày 2/9/1945 Hồ Chí Minh đọc Tuyên ngôn Độc lập, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
276,G5K_0276,misconception_correction,,1,Sửa nhận định sai liên quan đến So sánh Chiến dịch Tây Nguyên và Huế - Đà Nẵng năm 1975: thay Huế - Đà Nẵng bằng Chiến dịch Hồ Chí Minh.,TAY_NGUYEN_VS_HUE_DA_NANG_1975,So sánh Chiến dịch Tây Nguyên và Huế - Đà Nẵng năm 1975,"[""Tây Nguyên"", ""Buôn Ma Thuột"", ""Huế - Đà Nẵng"", ""26/3/1975""]","[""thay Huế - Đà Nẵng bằng Chiến dịch Hồ Chí Minh""]","[""Tây Nguyên"", ""Buôn Ma Thuột"", ""Huế"", ""Đà Nẵng"", ""26/3/1975""]","Chiến dịch Tây Nguyên là đòn mở đầu đột phá chiến lược của Tổng tiến công mùa Xuân 1975, nổi bật với Buôn Ma Thuột ngày 10/3/1975; Huế - Đà Nẵng là hướng tiến công phát triển sau đó, với Huế được giải phóng ngày 26/3/1975 và Đà Nẵng cuối tháng 3/1975. Không nên thay vế Huế - Đà Nẵng bằng Chiến dịch Hồ Chí Minh.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
277,G5K_0277,misconception_correction,,1,Sửa nhận định sai liên quan đến Đường Trường Sơn: Đường Trường Sơn không phải hiệp định ngoại giao.,TRUONG_SON_SUPPORT,Đường Trường Sơn,"[""tuyến vận tải chiến lược"", ""chi viện miền Nam"", ""người và vật chất"", ""hậu phương miền Bắc"", ""tiền tuyến miền Nam"", ""Không""]","[""Đường Trường Sơn không phải hiệp định ngoại giao""]","[""duong truong son"", ""Đường Trường Sơn"", ""hậu phương miền Bắc"", ""tiền tuyến miền Nam""]","Không. Đường Trường Sơn không phải là một hiệp định ngoại giao; đây là tuyến vận tải chiến lược đưa người và vật chất chi viện cho miền Nam, nối hậu phương miền Bắc với tiền tuyến miền Nam trong kháng chiến chống Mỹ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
278,G5K_0278,misconception_correction,,1,Có đúng không khi nói Hội nghị thành lập Đảng 1930? Hãy sửa lại cho chuẩn.,DAI_HOI_II_1951,Đại hội II của Đảng năm 1951,"[""1951"", ""Đại hội II"", ""Đảng Lao động Việt Nam""]","[""Hội nghị thành lập Đảng 1930""]","[""Đại hội II năm 1951"", ""Đảng Lao động Việt Nam""]",Năm 1951 gắn với Đại hội II của Đảng; đại hội quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
279,G5K_0279,misconception_correction,,1,moc ky hiep dinh paris?,PARIS_1973_SIGNING,Hiệp định Paris 1973,"[""27/1/1973"", ""Hiệp định Paris"", ""Mỹ rút quân"", ""quyền dân tộc""]","[""Genève 1954""]","[""paris"", ""27/1/1973"", ""Hiệp định Paris"", ""Mỹ rút quân"", ""quyền dân tộc""]","Hiệp định Paris được ký ngày 27/1/1973 về chấm dứt chiến tranh, lập lại hòa bình ở Việt Nam; mốc này gắn với việc Mỹ rút quân và việc tôn trọng các quyền dân tộc cơ bản của Việt Nam, nhưng chiến tranh chưa kết thúc hoàn toàn ngay.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
280,G5K_0280,misconception_correction,,1,"Nếu người học nhầm về Chiến dịch Hồ Chí Minh 1975, cần đính chính mốc/sự kiện nào?",HO_CHI_MINH_CAMPAIGN_FINAL,Chiến dịch Hồ Chí Minh 1975,"[""chiến dịch cuối cùng"", ""30/4/1975"", ""Sài Gòn"", ""chính quyền Sài Gòn đầu hàng"", ""Tây Nguyên"", ""Chiến dịch Hồ Chí Minh là chiến dịch cuối""]","[""Tây Nguyên mở đầu""]","[""chien dich ho chi minh""]","Không. Tổng tiến công mùa Xuân 1975 mở đầu bằng Chiến dịch Tây Nguyên, nổi bật là Buôn Ma Thuột; Chiến dịch Hồ Chí Minh là chiến dịch cuối cùng và quyết định, kết thúc bằng mốc 30/4/1975 khi Sài Gòn được giải phóng và chính quyền Sài Gòn đầu hàng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
281,G5K_0281,misconception_correction,,1,Có đúng không khi nói MTDTGPMN không ra đời năm 1941? Hãy sửa lại cho chuẩn.,VIET_MINH_VS_NLF,Việt Minh và Mặt trận Dân tộc Giải phóng miền Nam,"[""Việt Minh 1941"", ""20/12/1960"", ""khác bối cảnh"", ""Không"", ""MTDTGPMN 1960""]","[""gộp Việt Minh với MTDTGPMN"", ""MTDTGPMN không ra đời năm 1941""]","[""viet minh""]","Không. Việt Minh ra đời năm 1941, không phải năm 1960; Mặt trận Dân tộc Giải phóng miền Nam (MTDTGPMN) ra đời ngày 20/12/1960, không phải năm 1941. Hai tổ chức khác bối cảnh lịch sử, thời điểm ra đời và phạm vi nhiệm vụ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
282,G5K_0282,misconception_correction,,1,Sửa nhận định sai liên quan đến Phong trào Đồng Khởi: Cách mạng Tháng Tám.,DONG_KHOI_MEANING,Phong trào Đồng Khởi,"[""giữ gìn lực lượng sang thế tiến công"", ""phá thế kìm kẹp"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""1959-1960""]","[""Cách mạng Tháng Tám""]","[""dong khoi""]","Đồng Khởi 1959-1960 làm thay đổi thế cách mạng miền Nam: từ thế giữ gìn lực lượng sang thế tiến công, phá thế kìm kẹp ở nhiều nơi và tạo cơ sở cho Mặt trận Dân tộc Giải phóng miền Nam (MTDTGPMN) ra đời.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
283,G5K_0283,misconception_correction,,1,viet bac thu dong co y nghia gi?,VIET_BAC_1947_MEANING,Chiến thắng Việt Bắc Thu Đông 1947,"[""đánh nhanh thắng nhanh"", ""bảo vệ căn cứ Việt Bắc"", ""kháng chiến lâu dài""]","[""Biên giới 1950""]","[""viet bac""]","Chiến thắng Việt Bắc Thu Đông 1947 quan trọng vì đánh bại chiến lược đánh nhanh thắng nhanh của Pháp, bảo vệ căn cứ địa Việt Bắc và tạo điều kiện để cuộc kháng chiến chống Pháp tiếp tục lâu dài.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
284,G5K_0284,misconception_correction,,1,"Nếu người học nhầm về Từ Nhật đảo chính Pháp đến Tuyên ngôn Độc lập, cần đính chính mốc/sự kiện nào?",NHAT_DAO_CHINH_TO_DOC_LAP_TIMELINE,Từ Nhật đảo chính Pháp đến Tuyên ngôn Độc lập,"[""9/3/1945"", ""Tổng khởi nghĩa tháng 8"", ""2/9/1945""]","[""19/8/1945 là Tuyên ngôn Độc lập""]","[""1945"", ""tuyen ngon doc lap""]","Timeline từ Nhật đảo chính Pháp đến Tuyên ngôn Độc lập: ngày 9/3/1945 Nhật đảo chính Pháp ở Đông Dương; tháng 8/1945 diễn ra Tổng khởi nghĩa giành chính quyền; ngày 2/9/1945 Hồ Chí Minh đọc Tuyên ngôn Độc lập, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
285,G5K_0285,misconception_correction,,1,Có đúng không khi nói Mặt trận Dân tộc Giải phóng miền Nam 1960? Hãy sửa lại cho chuẩn.,VIET_MINH_1941_FOUNDING_DATE_EXACT,Mặt trận Việt Minh 1941,"[""19/5/1941"", ""Mặt trận Việt Minh"", ""Hội nghị Trung ương 8"", ""giải phóng dân tộc""]","[""Mặt trận Dân tộc Giải phóng miền Nam 1960""]","[""19/5/1941"", ""Mặt trận Việt Minh"", ""Hội nghị Trung ương 8"", ""giải phóng dân tộc""]","Mặt trận Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì và chủ trương đặt nhiệm vụ giải phóng dân tộc lên hàng đầu.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
286,G5K_0286,misconception_correction,,1,Có đúng không khi nói coi Đại hội II là hội nghị thành lập Đảng? Hãy sửa lại cho chuẩn.,PARTY_FOUNDING_1930_VS_CONGRESS_II_1951,Hội nghị thành lập Đảng 1930 và Đại hội II 1951,"[""1930"", ""1951"", ""Đảng Lao động Việt Nam""]","[""coi Đại hội II là hội nghị thành lập Đảng""]","[""Hội nghị hợp nhất thành lập Đảng"", ""Đại hội II năm 1951"", ""Đảng Lao động Việt Nam""]","Hội nghị thành lập Đảng đầu năm 1930 gắn với việc hợp nhất các tổ chức cộng sản và thành lập Đảng Cộng sản Việt Nam; Đại hội II năm 1951 diễn ra trong kháng chiến chống Pháp, quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam. Hai mốc khác nhau về thời điểm và chức năng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
287,G5K_0287,misconception_correction,,1,Một bạn học bị nhầm: gán Tuyên ngôn Độc lập cho ngày 30/4/1975. Câu trả lời đúng nên là gì?,HO_CHI_MINH_DECLARATION_DATE_CORRECTION,Sửa nhầm ngày Hồ Chí Minh đọc Tuyên ngôn Độc lập,"[""Không"", ""2/9/1945"", ""Ba Đình""]","[""gán Tuyên ngôn Độc lập cho ngày 30/4/1975""]","[""2/9/1945"", ""Hồ Chí Minh"", ""Quảng trường Ba Đình"", ""30/4/1975""]","Không đúng nếu nói Hồ Chí Minh đọc Tuyên ngôn Độc lập ngày 30/4/1975. Mốc đúng là ngày 2/9/1945 tại Quảng trường Ba Đình, Hà Nội; 30/4/1975 là mốc giải phóng miền Nam, kết thúc chiến tranh.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
288,G5K_0288,misconception_correction,,1,tra loi 1 cau dien bien phu ket thuc ngay nao?,DBP_1954_END_DATE,Chiến dịch Điện Biên Phủ kết thúc,"[""7/5/1954""]","[""Điện Biên Phủ trên không 1972""]","[""7/5/1954"", ""dien bien phu""]",Chiến dịch Điện Biên Phủ kết thúc thắng lợi ngày 7/5/1954.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
289,G5K_0289,misconception_correction,,1,"Nếu người học nhầm về Bảo Đại thoái vị và ngày 2/9/1945, cần đính chính mốc/sự kiện nào?",BAO_DAI_ABDICATION_VS_SEP2_1945,Bảo Đại thoái vị và ngày 2/9/1945,"[""Không"", ""30/8/1945"", ""2/9/1945"", ""Tuyên ngôn Độc lập""]","[""2/9/1945 là Tuyên ngôn Độc lập""]","[""Bảo Đại thoái vị tại Huế"", ""2/9/1945""]","Không. Bảo Đại thoái vị tại Huế vào cuối tháng 8/1945, nguồn nêu mốc ngày 30/8/1945; còn ngày 2/9/1945 là Lễ Tuyên ngôn Độc lập tại Quảng trường Ba Đình, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
290,G5K_0290,misconception_correction,,1,Một bạn học bị nhầm: Việt Minh 1941. Câu trả lời đúng nên là gì?,NLF_1960_FOUNDING_DATE,Mặt trận Dân tộc Giải phóng miền Nam 1960,"[""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""miền Nam"", ""tập hợp lực lượng miền Nam"", ""đấu tranh chống Mỹ""]","[""Việt Minh 1941""]","[""Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960"", ""20/12/1960""]",Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960; ý nghĩa cốt lõi là tập hợp lực lượng miền Nam đấu tranh chống Mỹ và chính quyền Sài Gòn trong kháng chiến chống Mỹ.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
291,G5K_0291,misconception_correction,,1,"Nếu người học nhầm về Chiến thắng Điện Biên Phủ 1954, cần đính chính mốc/sự kiện nào?",DBP_1954_INTERNATIONAL_IMPACT,Chiến thắng Điện Biên Phủ 1954,"[""cổ vũ phong trào giải phóng dân tộc"", ""suy yếu chủ nghĩa thực dân"", ""Genève 1954"", ""đánh bại"", ""mốc quyết định""]","[""Điện Biên Phủ trên không 1972""]","[""y nghia chien thang dien bien phu""]","Điện Biên Phủ 1954 là mốc quyết định trong kháng chiến chống Pháp: thắng lợi này đánh bại ý chí xâm lược của Pháp, làm phá sản Kế hoạch Nava và tác động trực tiếp tới Hội nghị Genève 1954; về quốc tế, nó làm suy yếu chủ nghĩa thực dân và cổ vũ phong trào giải phóng dân tộc.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
292,G5K_0292,misconception_correction,,1,Sửa nhận định sai liên quan đến Hội nghị thành lập Đảng Cộng sản Việt Nam 1930: Việt Minh 1941.,PARTY_FOUNDING_CONFERENCE_1930,Hội nghị thành lập Đảng Cộng sản Việt Nam 1930,"[""1930"", ""Đảng Cộng sản Việt Nam"", ""3/2/1930""]","[""Việt Minh 1941""]","[""Đảng Cộng sản Việt Nam thành lập năm 1930"", ""3/2/1930"", ""Hội nghị hợp nhất các tổ chức cộng sản""]","Hội nghị hợp nhất thành lập Đảng Cộng sản Việt Nam diễn ra đầu năm 1930, thường lấy mốc ngày 3/2/1930; đây là mốc hợp nhất các tổ chức cộng sản và thành lập Đảng Cộng sản Việt Nam.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
293,G5K_0293,misconception_correction,,1,Một bạn học bị nhầm: đồng nhất mặt trận chính trị với lực lượng vũ trang. Câu trả lời đúng nên là gì?,VIET_MINH_TO_VNTTGPQ_TIMELINE,Từ Việt Minh đến Đội Việt Nam Tuyên truyền Giải phóng quân,"[""1941"", ""22/12/1944"", ""lực lượng vũ trang""]","[""đồng nhất mặt trận chính trị với lực lượng vũ trang""]","[""Việt Minh"", ""22/12/1944"", ""lực lượng vũ trang""]","Thứ tự cần nhớ: năm 1941 Việt Minh ra đời, tập hợp lực lượng giải phóng dân tộc; sau đó ngày 22/12/1944 Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập, là lực lượng vũ trang cách mạng quan trọng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
294,G5K_0294,misconception_correction,,1,Sửa nhận định sai liên quan đến Từ Hiệp định Sơ bộ đến Toàn quốc kháng chiến năm 1946: chỉ nêu Toàn quốc kháng chiến mà bỏ Hiệp định Sơ bộ.,HIEP_DINH_SO_BO_TO_TOAN_QUOC_1946_TIMELINE,Từ Hiệp định Sơ bộ đến Toàn quốc kháng chiến năm 1946,"[""6/3/1946"", ""14/9/1946"", ""19/12/1946""]","[""chỉ nêu Toàn quốc kháng chiến mà bỏ Hiệp định Sơ bộ""]","[""Hiệp định Sơ bộ"", ""Tạm ước"", ""Toàn quốc kháng chiến"", ""19/12/1946""]","Tuyến sự kiện năm 1946 có thể nhớ theo thứ tự: Hiệp định Sơ bộ Việt - Pháp ngày 6/3/1946, Tạm ước Việt - Pháp ngày 14/9/1946, rồi Toàn quốc kháng chiến bùng nổ ngày 19/12/1946.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
295,G5K_0295,misconception_correction,,1,Sửa nhận định sai liên quan đến Kháng chiến chống Pháp 1946-1954: nhầm sang kháng chiến chống Mỹ.,ANTI_FRENCH_1946_1954_TIMELINE,Kháng chiến chống Pháp 1946-1954,"[""19/12/1946"", ""Biên giới 1950"", ""Điện Biên Phủ 1954""]","[""nhầm sang kháng chiến chống Mỹ""]","[""19/12/1946"", ""Biên giới Thu Đông 1950"", ""Điện Biên Phủ"", ""Genève""]",Timeline kháng chiến chống Pháp 1946-1954 có thể tóm tắt: Toàn quốc kháng chiến ngày 19/12/1946; Chiến dịch Biên giới Thu Đông 1950 đưa kháng chiến sang thế chủ động hơn; năm 1954 Chiến thắng Điện Biên Phủ và Hiệp định Genève.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
296,G5K_0296,misconception_correction,,1,neu chuoi chinh cua mua xuan 1975?,SPRING_1975_CAMPAIGN_CHAIN,Tổng tiến công mùa Xuân 1975,"[""Tây Nguyên"", ""Huế - Đà Nẵng"", ""Chiến dịch Hồ Chí Minh"", ""30/4/1975"", ""Buôn Ma Thuột"", ""10/3/1975""]","[""Chiến dịch Hồ Chí Minh là mở đầu""]","[""tong tien cong"", ""1975"", ""Buôn Ma Thuột"", ""Huế - Đà Nẵng"", ""Chiến dịch Hồ Chí Minh"", ""30/4/1975""]","Chuỗi chiến dịch chính trong Tổng tiến công mùa Xuân 1975 gồm Tây Nguyên mở đầu bằng thắng lợi Buôn Ma Thuột ngày 10/3/1975, tiếp đến Huế - Đà Nẵng, rồi Chiến dịch Hồ Chí Minh kết thúc bằng mốc 30/4/1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
297,G5K_0297,misconception_correction,,1,Một bạn học bị nhầm: Điện Biên Phủ trên không 1972. Câu trả lời đúng nên là gì?,DBP_1954_MILESTONES,Chiến dịch Điện Biên Phủ 1954,"[""13/3/1954"", ""Him Lam"", ""56 ngày đêm"", ""7/5/1954""]","[""Điện Biên Phủ trên không 1972""]","[""13/3/1954"", ""dien bien phu""]","Các mốc ổn định của Chiến dịch Điện Biên Phủ: mở màn ngày 13/3/1954 với trận Him Lam, diễn ra 56 ngày đêm, và kết thúc thắng lợi ngày 7/5/1954.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
298,G5K_0298,misconception_correction,,1,"Nếu người học nhầm về Chiến thắng Việt Bắc Thu Đông 1947, cần đính chính mốc/sự kiện nào?",VIET_BAC_1947_DATE,Chiến thắng Việt Bắc Thu Đông 1947,"[""1947"", ""Việt Bắc Thu Đông"", ""đánh nhanh thắng nhanh""]","[""Biên giới Thu Đông 1950""]","[""Việt Bắc Thu Đông 1947"", ""đánh nhanh thắng nhanh""]",Chiến thắng/Chiến dịch Việt Bắc Thu Đông diễn ra năm 1947; thắng lợi này bảo vệ căn cứ Việt Bắc và đánh bại chiến lược đánh nhanh thắng nhanh của Pháp.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
299,G5K_0299,misconception_correction,,1,Sửa nhận định sai liên quan đến Điện Biên Phủ 1954 và Điện Biên Phủ trên không 1972: gộp hai sự kiện.,DBP_1954_VS_AIR_1972,Điện Biên Phủ 1954 và Điện Biên Phủ trên không 1972,"[""1954 chống Pháp"", ""1972 chống Mỹ"", ""B-52""]","[""gộp hai sự kiện""]","[""dien bien phu tren khong""]","Điện Biên Phủ 1954 là chiến thắng chống Pháp ở Tây Bắc, kết thúc ngày 7/5/1954; còn Điện Biên Phủ trên không 1972 là thắng lợi chống Mỹ, đánh bại cuộc tập kích B-52 trong 12 ngày đêm Hà Nội - Hải Phòng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
300,G5K_0300,misconception_correction,,1,Sửa nhận định sai liên quan đến Toàn quốc kháng chiến 1946: Nam Bộ kháng chiến 23/9/1945.,TOAN_QUOC_KHANG_CHIEN_1946_START_DATE,Toàn quốc kháng chiến 1946,"[""19/12/1946"", ""Toàn quốc kháng chiến"", ""chống thực dân Pháp""]","[""Nam Bộ kháng chiến 23/9/1945""]","[""19/12/1946"", ""Toàn quốc kháng chiến""]","Toàn quốc kháng chiến bùng nổ ngày 19/12/1946, mở đầu cuộc kháng chiến toàn quốc chống thực dân Pháp.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
301,G5K_0301,misconception_correction,,1,Một bạn học bị nhầm: Tây Nguyên mở đầu. Câu trả lời đúng nên là gì?,HO_CHI_MINH_CAMPAIGN_FINAL,Chiến dịch Hồ Chí Minh 1975,"[""chiến dịch cuối cùng"", ""30/4/1975"", ""Sài Gòn"", ""chính quyền Sài Gòn đầu hàng"", ""Tây Nguyên"", ""Chiến dịch Hồ Chí Minh là chiến dịch cuối""]","[""Tây Nguyên mở đầu""]","[""chien dich ho chi minh""]","Không. Tổng tiến công mùa Xuân 1975 mở đầu bằng Chiến dịch Tây Nguyên, nổi bật là Buôn Ma Thuột; Chiến dịch Hồ Chí Minh là chiến dịch cuối cùng và quyết định, kết thúc bằng mốc 30/4/1975 khi Sài Gòn được giải phóng và chính quyền Sài Gòn đầu hàng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
